name,url,uuid,tags,username,license,description,duration,geotags
Open or close the door(Old Door),https://freesound.org/people/muy2149972/sounds/586417/,b26645bb-f807-4730-9102-2abcc8358846,['door'+ 'Door'+ 'Open'+ 'Close'],muy2149972,http://creativecommons.org/publicdomain/zero/1.0/,The door (old door) be open and close.,8.21333,
Opening cabinet.wav,https://freesound.org/people/deleted_user_7020630/sounds/378388/,e62febeb-e998-4b46-b962-d581c615b90e,['keys'+ 'cabinet'+ 'opening'],deleted_user_7020630,http://creativecommons.org/publicdomain/zero/1.0/,opening school cabinet,9.04,
cabinet handle.mp3,https://freesound.org/people/sfarkas92/sounds/444542/,6b290266-e8d6-421f-a8e7-4837b843b807,['handle'+ 'rattle'+ 'cabinet'+ 'drawer'+ 'close'+ 'open'],sfarkas92,http://creativecommons.org/publicdomain/zero/1.0/,Cabinet handle rattle.,11.8476,
CABINET OPEN.wav,https://freesound.org/people/tmrobin1/sounds/427296/,683da16c-fcb9-4dc1-861b-913a277c6ecf,['kitchen'+ 'open'+ 'cabinet'],tmrobin1,http://creativecommons.org/publicdomain/zero/1.0/,Cabinet in kitchen open,20.16,
CABINET CLOSE.wav,https://freesound.org/people/tmrobin1/sounds/427297/,2ad7bc61-c9e2-46bb-b377-6235b558ff27,['close'+ 'kitchen'+ 'cabinet'],tmrobin1,http://creativecommons.org/publicdomain/zero/1.0/,Cabinet closing in kitchen.,20.16,
untitled_cabinet door.wav,https://freesound.org/people/Zigzag20705/sounds/134969/,64a844cd-9f0c-4773-b829-855a11f8ac2e,['door'+ 'field-recording'+ 'cabinet'],Zigzag20705,http://creativecommons.org/publicdomain/zero/1.0/,closing and opening cabinet,50.3942,
BC cabinet 1.wav,https://freesound.org/people/cmusounddesign/sounds/119879/,8b7d8688-0a76-4724-868b-8195514a2792,['cabinet'+ 'close'+ 'open'+ 'wood'],cmusounddesign,http://creativecommons.org/licenses/by/3.0/,Wooden cabinet open and close,6.125,
kitchen cabinet.wav,https://freesound.org/people/cemagar/sounds/120329/,e672905e-3b8a-4a62-95e9-36f9bae99d80,['cabinet'+ 'close'+ 'kitchen'+ 'open'],cemagar,http://creativecommons.org/licenses/by/3.0/,opening and closing a kitchen cabinet,9.936,
kitchen cabinet opening and closing,https://freesound.org/people/mrrap4food/sounds/470594/,5ab53953-ed87-49cb-8ff3-1bb17a5453df,['door'+ 'opening'+ 'cabinet'+ 'close'+ 'closing'+ 'kitchen'],mrrap4food,http://creativecommons.org/publicdomain/zero/1.0/,kitchen cabinet opening and closing,14.5907,
Opening Closing Cabinet Door,https://freesound.org/people/deleted_user_7146007/sounds/383836/,a20ffde4-0abd-4874-813b-0cd5fa2a0273,['Closing'+ 'Cabinet'+ 'Door'+ 'Opening'],deleted_user_7146007,http://creativecommons.org/publicdomain/zero/1.0/,Opening Closing Cabinet Door,10.1,
chair.wav,https://freesound.org/people/Dig2008/sounds/67239/,0fe4b2d9-e5bb-4e5e-ad34-28be2035b265,['chair'],Dig2008,http://creativecommons.org/publicdomain/zero/1.0/,chair,5.18966,
